Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-01-10,5.3185,5.4326,5.3122,5.4009,2308200,0.0,0.0
2001-01-11,5.4199,5.6735,5.4073,5.6482,3226200,0.0,0.0
2001-01-12,5.8066,5.8447,5.7369,5.8256,2761500,0.0,0.0
2001-01-16,5.6798,5.6798,5.5848,5.6482,2071200,0.0,0.0
2001-01-17,5.8193,5.9081,5.7876,5.8066,4180800,0.0,0.0
2001-01-18,5.9144,6.0348,5.8637,6.0222,1972800,0.0,0.0
2001-01-19,6.0982,6.1299,5.9144,5.9778,2423100,0.0,0.0
2001-01-22,5.8954,5.9841,5.8764,5.9461,1774800,0.0,0.0
2001-01-23,5.9271,6.1109,5.9081,6.0982,1980600,0.0,0.0
2001-01-24,6.0222,6.0412,5.8193,5.8954,6275100,0.0,0.0
2001-01-25,5.8383,5.8716,5.8066,5.8256,1826700,0.0,0.0
2001-01-26,5.7813,5.8764,5.7623,5.851,2248500,0.0,0.0
2001-01-29,5.7813,5.8827,5.7539,5.8726,945300,0.0,0.0
2001-01-30,5.8472,5.8472,5.7772,5.8208,940500,0.0,0.0
2001-01-31,5.831,5.8421,5.7863,5.8056,1184700,0.0,0.0
2001-02-01,5.8827,5.8888,5.8076,5.8381,1253100,0.0,0.0
2001-02-02,5.7153,5.7245,5.5886,5.5977,2962200,0.0,0.0
2001-02-05,5.5592,5.6748,5.5379,5.6413,1509600,0.0,0.0
2001-02-06,5.5703,5.6433,5.5632,5.5957,483900,0.0,0.0
2001-02-07,5.5024,5.5176,5.4415,5.4953,1229700,0.0,0.0
2001-02-08,5.4648,5.5297,5.4618,5.478,973800,0.0,0.0
2001-02-09,5.3634,5.4263,5.3259,5.3604,1864800,0.0,0.0
2001-02-12,5.4486,5.5226,5.406,5.48,2025000,0.0,0.0
2001-02-13,5.4009,5.4009,5.2549,5.2549,1691100,0.0,0.0
2001-02-14,5.0723,5.0804,4.976,5.0612,4215900,0.0,0.0
2001-02-15,5.0622,5.0906,5.0155,5.0419,1359300,0.0,0.0
2001-02-16,5.0591,5.1656,5.0307,5.0612,2396100,0.0,0.0
2001-02-20,5.1747,5.19,5.0054,5.0115,1788000,0.0,0.0
2001-02-21,4.8887,4.9689,4.8593,4.907,1857900,0.0,0.0
2001-02-22,4.8502,4.8867,4.7822,4.8867,1468800,0.0,0.0
2001-02-23,4.7721,4.9202,4.7346,4.91,1822200,0.0,0.0
2001-02-26,4.98,5.0246,4.9374,5.0196,1380000,0.0,0.0
2001-02-27,5.1271,5.193,5.0916,5.1372,3047400,0.0,0.0
2001-02-28,5.2478,5.2965,5.1291,5.1474,1657800,0.0,0.0
2001-03-01,5.2244,5.4365,5.1779,5.4365,2743500,0.0,1.02
2001-03-02,5.3331,5.4779,5.3331,5.4272,2788500,0.0,0.0
